Valmont Post Office,,,,,,40.0287023,-105.2265121
"Columbus, NM 88029",201,South Main Street,,,,31.8301198,-107.6381984
United States Post Office - Gateway Station,,,,,94111,37.7949406,-122.399438
Belington Post Office,,,,,,39.0219974,-79.936923
Denali National Park Post Office,,,,,,63.7302574,-148.8921045
Noti Post Office,22528,Highway 126,Noti,OR,,44.0578895,-123.4482277
Piedra Post Office,,,,,,36.8229126,-119.3648938
Lafayette Post Office,,,,,,45.2435809,-123.113495
Forest Lake Post Office,,,,,,45.2722474,-92.9854116
Williamsfield;Williamsfield Post Office,,,,,,41.533387,-80.570629
Brooklandville Post Office,10807,Falls Road,Brooklandville,MD,21093,39.4215531,-76.6702384
Germansville,,,,,,40.7014837,-75.7068559
Mechanicsburg Post Office,702,Simpson Ferry Road,Mechanicsburg,PA,17055,40.2151626,-76.9935028
Pocahontas Trl & Heritage Mobile Village,,,,,,37.213364,-76.618983
Pocahontas Trl & Carters Grove,,,,,,37.216351,-76.621251
Pocahontas Trl & WATA IB,,,,,,37.257364,-76.669872
Pocahontas Trl & Creative Kids Daycare OB,,,,,,37.225512,-76.626234
MArengo Post Office,,,,,,41.79986,-92.0712099
Galleria Post Office,,,,,,38.2518402,-85.7559278
Fridley Post Office,,,,,,45.103835,-93.2648509
United States Post Office,401,North Ashley Drive,Tampa,FL,33602,27.9473718,-82.4595414
Ybor City Post Office,,,,,,27.9641125,-82.4375751
Lincoln Park Postal Store,2405,North Sheffield Avenue,Chicago,IL,60614,41.9256657,-87.6534292
Downtown Urbana Post Office,,East Elm Street,Urbana,IL,61801,40.1113579,-88.2071278
Vinton Post Office,119,South Pollard Street,Vinton,VA,24179-9998,37.2803037,-79.8977215
East Texas Post Office,,,,,,40.5481155,-75.5608606
United States Post Office,,,,,,25.931914,-97.4989244
Oak View Post Office,,,,,,34.3926333,-119.300936
Post Office,,,,,,36.0843679,-115.263723
Main Post Office,,,,,,36.07098,-115.1395713
Park Central Station,,,,,,37.7629904,-122.2428141
"US Post Office Brigantine, 08203",,,,,,39.3918389,-74.3969525
San Juan Bautista Post Office,,,,,,36.841668,-121.5347173
Metamora Post Office,123,East Partridge Street,Metamora,IL,61548,40.7916833,-89.3620464
The Postal Store,,,,,,41.5811246,-71.5004528
The UPS Store,398,Columbus Avenue,Boston,MA,02116,42.3445646,-71.0763875
United States Post Office,401,Market Street,Camden,NJ,08102,39.9460239,-75.121955
The UPS Store,,,,,,34.6904372,-82.8106221
Canton Center Post Office,,,,,,41.8541274,-72.917287
The UPS Store Loveland,10663,Loveland Madeira Road,Loveland,OH,45140,39.2543211,-84.2963932
Janesville Post Office,,,Janesville,WI,,42.6821495,-89.0223534
River Falls Post Office,,,,,,44.8596253,-92.6234502
East Ellsworth Post Office,,,,,,44.7341017,-92.466349
Ellsworth Post Office,,,,,,44.7319119,-92.4824122
United States Post Office,,,Eagle River,WI,54521,45.9155097,-89.2476321
United States Post Office,,,Sayner,WI,54560,45.9945018,-89.5278573
Hayward Post Office,,,,,,46.0156567,-91.4864333
Beloit Post Office,300,Mill Street,Beloit,WI,53511,42.498904,-89.0381655
New Lisbon Post Office,,,,,,43.8794135,-90.16624
Plymouth Post Office,,,,,,43.7488832,-87.977038
Sheboygan Falls Post Office,108,Maple Street,Sheboygan Falls,WI,53085,43.7295624,-87.8121737
Brillion Post Office,,,,,,44.1761928,-88.0624511
Mondovi Post Office,,,,,,44.5686893,-91.6715283
Chilton Post Office,,,,,,44.0291581,-88.1612118
Cumberland Post Office,,,,,,45.533843,-92.0210127
United States Post Office,110,Colonel Woods Avenue,La Pointe,WI,54850,46.7794717,-90.7886462
