store_number,store_type,store_name,address,city,state,zip_code,phone_number,fax_number,store_hours,latitude,longitude,country,country_code,county,geo_accuracy
1356407,po,Burnet,508 E Jackson St,Burnet,TX,78611,5127564241,5127569466,"MO: 08:30:00,close:16:30:00,TU: 08:30:00,close:16:30:00,WE: 08:30:00,close:16:30:00,TH: 08:30:00,close:16:30:00,FR: 08:30:00,close:16:30:00,SA: 08:30:00,close:10:30:00,SU,times:[",30.757849758824992,-98.22249345481397,United States,US,Burnet County,AGGDATA_VERIFIED: ROOFTOP
1356412,po,Burneyville,11340 Sparrow Rd,Burneyville,OK,73430,5802762780,,"MO: 12:00:00,close:16:00:00,TU: 12:00:00,close:16:00:00,WE: 12:00:00,close:16:00:00,TH: 12:00:00,close:16:00:00,FR: 12:00:00,close:16:00:00,SA: 09:00:00,close:10:00:00,SU,times:[",33.9065555159167,-97.29034535586835,United States,US,Love County,AGGDATA_VERIFIED: ROOFTOP
1356413,po,Burnham,26 Troy Rd,Burnham,ME,04922,2074872267,,"MO: 07:30:00,close:09:30:00,{14:30:00,close:16:30:00,TU: 07:30:00,close:09:30:00,{14:30:00,close:16:30:00,WE: 07:30:00,close:09:30:00,{14:30:00,close:16:30:00,TH: 07:30:00,close:09:30:00,{14:30:00,close:16:30:00,FR: 07:30:00,close:09:30:00,{14:30:00,close:16:30:00,SA: 07:30:00,close:11:15:00,SU,times:[",44.69181894772554,-69.42554159089924,United States,US,Waldo County,AGGDATA_VERIFIED: ROOFTOP
1356414,po,Burnham,229 N Logan Blvd,Burnham,PA,17009,7172482701,,"MO: 09:00:00,close:16:00:00,TU: 09:00:00,close:16:00:00,WE: 09:00:00,close:16:00:00,TH: 09:00:00,close:16:00:00,FR: 09:00:00,close:16:00:00,SA: 09:00:00,close:12:00:00,SU,times:[",40.63178590795246,-77.56889479234816,United States,US,Mifflin County,AGGDATA_VERIFIED: ROOFTOP
1356415,po,Burnips,4273 30Th St,Burnips,MI,49314,6168968286,,"MO: 12:00:00,close:16:00:00,TU: 12:00:00,close:16:00:00,WE: 12:00:00,close:16:00:00,TH: 12:00:00,close:16:00:00,FR: 12:00:00,close:16:00:00,SA: 08:30:00,close:11:00:00,SU,times:[",42.730004546799286,-85.84031408652663,United States,US,Allegan County,AGGDATA_VERIFIED: ROOFTOP
1356416,po,Burns,2312 Highway 96,Burns,TN,37029,6154469029,,"MO: 07:30:00,close:11:00:00,{12:00:00,close:16:00:00,TU: 07:30:00,close:11:00:00,{12:00:00,close:16:00:00,WE: 07:30:00,close:11:00:00,{12:00:00,close:16:00:00,TH: 07:30:00,close:11:00:00,{12:00:00,close:16:00:00,FR: 07:30:00,close:11:00:00,{12:00:00,close:16:00:00,SA: 08:00:00,close:11:00:00,SU,times:[",36.04875306646833,-87.30614667758346,United States,US,Dickson County,AGGDATA_VERIFIED: ROOFTOP
1356417,po,Burns Flat,100 Sooner Dr,Burns Flat,OK,73624,5805623564,,"MO: 09:00:00,close:11:30:00,{12:30:00,close:16:00:00,TU: 09:00:00,close:11:30:00,{12:30:00,close:16:00:00,WE: 09:00:00,close:11:30:00,{12:30:00,close:16:00:00,TH: 09:00:00,close:11:30:00,{12:30:00,close:16:00:00,FR: 09:00:00,close:11:30:00,{12:30:00,close:16:00:00,SA: 09:30:00,close:10:30:00,SU,times:[",35.35575423711345,-99.17070865631105,United States,US,Washita County,AGGDATA_VERIFIED: ROOFTOP
1356400,po,Burlington,2600 Burlington Pike,Burlington,KY,41005,8595867082,,"MO: 08:30:00,close:17:00:00,TU: 08:30:00,close:17:00:00,WE: 08:30:00,close:17:00:00,TH: 08:30:00,close:17:00:00,FR: 08:30:00,close:17:00:00,SA: 08:30:00,close:12:30:00,SU,times:[",39.02716510777729,-84.71527710556985,United States,US,Boone County,AGGDATA_VERIFIED: ROOFTOP
1356418,po,Burns,111 N Washington Ave,Burns,KS,66840,6207265217,,"MO: 08:00:00,close:12:00:00,TU: 08:00:00,close:12:00:00,WE: 08:00:00,close:12:00:00,TH: 08:00:00,close:12:00:00,FR: 08:00:00,close:12:00:00,SA,times:[,SU,times:[",38.08973633943899,-96.88604526221754,United States,US,Marion County,AGGDATA_VERIFIED: ROOFTOP
1356419,po,Burns,100 S Broadway Ave,Burns,OR,97720,5415731720,6513066545,"MO: 08:30:00,close:17:00:00,TU: 08:30:00,close:17:00:00,WE: 08:30:00,close:17:00:00,TH: 08:30:00,close:17:00:00,FR: 08:30:00,close:17:00:00,SA,times:[,SU,times:[",43.58445938783982,-119.05481625348332,United States,US,Harney County,AGGDATA_VERIFIED: ROOFTOP
